step	Energy 					Momentum
113  1.0037450172412872e+00  1.2550876156865489e+00
114  1.0037450172412876e+00  1.2541646397247861e+00
115  1.0037450172412856e+00  1.2552524417232309e+00
116  1.0037450172412830e+00  1.2577200011092342e+00
117  1.0037450172412854e+00  1.2589997874105336e+00
118  1.0037450172412841e+00  1.2557868376736305e+00
119  1.0037450172412854e+00  1.2567361251645996e+00
120  1.0037450172412870e+00  1.2567769446119275e+00
121  1.0037450172412856e+00  1.2561964776202053e+00
122  1.0037450172412818e+00  1.2583795320342850e+00
123  1.0037450172412825e+00  1.2574056290708238e+00
124  1.0037450172412847e+00  1.2566645317875431e+00
125  1.0037450172412843e+00  1.2575934152825015e+00
126  1.0037450172412836e+00  1.2580674900732396e+00
127  1.0037450172412843e+00  1.2578487984966633e+00
128  1.0037450172412856e+00  1.2557278291750160e+00
129  1.0037450172412798e+00  1.2561089384181383e+00
130  1.0037450172412798e+00  1.2547743152123492e+00
131  1.0037450172412850e+00  1.2541932802264582e+00
132  1.0037450172412838e+00  1.2533053196874513e+00
133  1.0037450172412832e+00  1.2550686996690974e+00
134  1.0037450172412850e+00  1.2545539810775623e+00
135  1.0037450172412843e+00  1.2554258133765153e+00
136  1.0037450172412823e+00  1.2547099801034336e+00
137  1.0037450172412856e+00  1.2533952239575241e+00
138  1.0037450172412834e+00  1.2535419155521867e+00
139  1.0037450172412825e+00  1.2525185325706603e+00
140  1.0037450172412856e+00  1.2543498124642825e+00
141  1.0037450172412834e+00  1.2526345421651401e+00
142  1.0037450172412838e+00  1.2539982413771893e+00
143  1.0037450172412803e+00  1.2541578503880775e+00
144  1.0037450172412841e+00  1.2526027254271630e+00
145  1.0037450172412865e+00  1.2573153893590683e+00
146  1.0037450172412865e+00  1.2567475469577958e+00
147  1.0037450172412852e+00  1.2554406361172081e+00
148  1.0037450172412872e+00  1.2552466956535893e+00
149  1.0037450172412827e+00  1.2535037801487388e+00
150  1.0037450172412830e+00  1.2551970585535621e+00
151  1.0037450172412836e+00  1.2563392073359938e+00
152  1.0037450172412843e+00  1.2572477690961565e+00
153  1.0037450172412832e+00  1.2560892036094269e+00
154  1.0037450172412858e+00  1.2569497534421417e+00
155  1.0037450172412843e+00  1.2566064434555864e+00
156  1.0037450172412885e+00  1.2567938693635732e+00
157  1.0037450172412845e+00  1.2574748893279755e+00
158  1.0037450172412838e+00  1.2562905173779004e+00
159  1.0037450172412825e+00  1.2557878934734823e+00
160  1.0037450172412841e+00  1.2563547312094310e+00
161  1.0037450172412816e+00  1.2550587910933384e+00
162  1.0037450172412901e+00  1.2566036384981183e+00
163  1.0037450172412843e+00  1.2575409690716033e+00
164  1.0037450172412858e+00  1.2581840805162465e+00
165  1.0037450172412845e+00  1.2559508992894894e+00
166  1.0037450172412838e+00  1.2575313077364494e+00
167  1.0037450172412865e+00  1.2596981442834958e+00
168  1.0037450172412834e+00  1.2581180879441434e+00
169  1.0037450172412863e+00  1.2577312792180939e+00
170  1.0037450172412841e+00  1.2587507910606670e+00
171  1.0037450172412881e+00  1.2580202781490075e+00
172  1.0037450172412830e+00  1.2572725021935214e+00
173  1.0037450172412827e+00  1.2583372128679697e+00
174  1.0037450172412881e+00  1.2567749524441805e+00
175  1.0037450172412812e+00  1.2573973985494080e+00
176  1.0037450172412874e+00  1.2560311096551138e+00
177  1.0037450172412856e+00  1.2559322009559974e+00
178  1.0037450172412841e+00  1.2576566103987878e+00
179  1.0037450172412863e+00  1.2557765956705380e+00
180  1.0037450172412841e+00  1.2549840592674577e+00
181  1.0037450172412845e+00  1.2565661128902117e+00
182  1.0037450172412854e+00  1.2581627239128070e+00
183  1.0037450172412863e+00  1.2566637094068285e+00
184  1.0037450172412861e+00  1.2547157928663888e+00
185  1.0037450172412863e+00  1.2551634721883755e+00
186  1.0037450172412867e+00  1.2542814317987574e+00
187  1.0037450172412870e+00  1.2551189303956491e+00
188  1.0037450172412858e+00  1.2556620905626927e+00
189  1.0037450172412843e+00  1.2560149629714501e+00
190  1.0037450172412807e+00  1.2539004334620101e+00
191  1.0037450172412818e+00  1.2527853812849568e+00
192  1.0037450172412881e+00  1.2539755995946780e+00
193  1.0037450172412841e+00  1.2539565877727477e+00
194  1.0037450172412865e+00  1.2532451864157341e+00
195  1.0037450172412867e+00  1.2531996755390871e+00
196  1.0037450172412845e+00  1.2523273086339304e+00
197  1.0037450172412863e+00  1.2529797520208474e+00
198  1.0037450172412867e+00  1.2534114061188171e+00
199  1.0037450172412807e+00  1.2535853053819070e+00
200  1.0037450172412818e+00  1.2535853069273439e+00
201  1.0037450172412832e+00  1.2534496570730904e+00
202  1.0037450172412856e+00  1.2557519499434115e+00
203  1.0037450172412856e+00  1.2527402764578213e+00
204  1.0037450172412847e+00  1.2544944491505576e+00
205  1.0037450172412856e+00  1.2543473175546243e+00
206  1.0037450172412796e+00  1.2552078532274709e+00
207  1.0037450172412865e+00  1.2550857711147125e+00
208  1.0037450172412854e+00  1.2555089794639642e+00
209  1.0037450172412830e+00  1.2554842591029198e+00
210  1.0037450172412856e+00  1.2570708679493201e+00
211  1.0037450172412852e+00  1.2550938051143123e+00
212  1.0037450172412823e+00  1.2562394693209551e+00
213  1.0037450172412867e+00  1.2549199793679708e+00
214  1.0037450172412845e+00  1.2551676556397517e+00
215  1.0037450172412834e+00  1.2543437000714621e+00
216  1.0037450172412865e+00  1.2540395864539442e+00
217  1.0037450172412823e+00  1.2522185820848439e+00
218  1.0037450172412781e+00  1.2530592424309215e+00
219  1.0037450172412827e+00  1.2528664212332974e+00
220  1.0037450172412852e+00  1.2530926128278170e+00
221  1.0037450172412792e+00  1.2517241237593890e+00
222  1.0037450172412878e+00  1.2530007147761002e+00
223  1.0037450172412856e+00  1.2533010285485418e+00
224  1.0037450172412836e+00  1.2545522504059623e+00
225  1.0037450172412816e+00  1.2566298756050538e+00
226  1.0037450172412863e+00  1.2567835813920309e+00
227  1.0037450172412847e+00  1.2588772202151004e+00
228  1.0037450172412876e+00  1.2585281475575383e+00
229  1.0037450172412834e+00  1.2570700894789031e+00
230  1.0037450172412872e+00  1.2588504251760233e+00
231  1.0037450172412867e+00  1.2587332273288061e+00
232  1.0037450172412792e+00  1.2556917915632357e+00
233  1.0037450172412787e+00  1.2580559970950882e+00
234  1.0037450172412832e+00  1.2580842722556376e+00
235  1.0037450172412841e+00  1.2581137909793094e+00
236  1.0037450172412856e+00  1.2582166058491211e+00
237  1.0037450172412827e+00  1.2584874711776377e+00
238  1.0037450172412863e+00  1.2579442144250317e+00
239  1.0037450172412834e+00  1.2566968352535335e+00
240  1.0037450172412872e+00  1.2571980199636592e+00
241  1.0037450172412832e+00  1.2560504890087167e+00
242  1.0037450172412834e+00  1.2561097491840225e+00
243  1.0037450172412812e+00  1.2557655089386914e+00
244  1.0037450172412872e+00  1.2568253220582810e+00
245  1.0037450172412863e+00  1.2593415924260436e+00
246  1.0037450172412830e+00  1.2580611871626228e+00
247  1.0037450172412863e+00  1.2582518216958711e+00
248  1.0037450172412834e+00  1.2595342095078419e+00
249  1.0037450172412858e+00  1.2592791316722505e+00
250  1.0037450172412865e+00  1.2585548008598950e+00
251  1.0037450172412843e+00  1.2578149722698573e+00
252  1.0037450172412832e+00  1.2592889372654625e+00
253  1.0037450172412821e+00  1.2594376995555188e+00
254  1.0037450172412883e+00  1.2596513726395999e+00
255  1.0037450172412850e+00  1.2609910907434472e+00
256  1.0037450172412832e+00  1.2580130962926119e+00
